"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-10-07 00:00:00",40,10,56,
"2019-10-08 00:00:00",35,6,53.285714285714285,
"2019-10-09 00:00:00",31,14,51.714285714285715,
"2019-10-10 00:00:00",41,15,51.57142857142857,
"2019-10-11 00:00:00",41,15,50.42857142857143,
"2019-10-12 00:00:00",38,10,51,
"2019-10-13 00:00:00",43,11,50,
"2019-10-14 00:00:00",47,10,51,
"2019-10-15 00:00:00",40,16,53.142857142857146,
"2019-10-16 00:00:00",40,13,54.285714285714285,
"2019-10-17 00:00:00",31,13,52.57142857142857,
"2019-10-18 00:00:00",44,20,53.714285714285715,
"2019-10-19 00:00:00",44,12,54.857142857142854,
"2019-10-20 00:00:00",32,13,53.57142857142857,
"2019-10-21 00:00:00",36,12,52.285714285714285,
"2019-10-22 00:00:00",28,11,49.857142857142854,
"2019-10-23 00:00:00",32,16,49.142857142857146,
"2019-10-24 00:00:00",43,14,51,
"2019-10-25 00:00:00",33,7,47.57142857142857,
"2019-10-26 00:00:00",38,11,46.57142857142857,
"2019-10-27 00:00:00",38,18,48.142857142857146,
"2019-10-28 00:00:00",22,7,45.42857142857143,
"2019-10-29 00:00:00",34,9,46,
"2019-10-30 00:00:00",44,8,46.57142857142857,
"2019-10-31 00:00:00",60,12,48.714285714285715,
"2019-11-01 00:00:00",37,18,50.857142857142854,
"2019-11-02 00:00:00",33,13,50.42857142857143,
"2019-11-03 00:00:00",38,13,49.714285714285715,
"2019-11-04 00:00:00",35,11,52.142857142857146,
"2019-11-05 00:00:00",54,13,55.57142857142857,
"2019-11-06 00:00:00",30,12,54.142857142857146,
"2019-11-07 00:00:00",31,9,49.57142857142857,
"2019-11-08 00:00:00",33,14,48.42857142857143,
"2019-11-09 00:00:00",40,8,48.714285714285715,
"2019-11-10 00:00:00",31,13,47.714285714285715,
"2019-11-11 00:00:00",43,15,49.42857142857143,
"2019-11-12 00:00:00",27,9,45,
"2019-11-13 00:00:00",38,9,45.714285714285715,
"2019-11-14 00:00:00",46,15,48.714285714285715,
"2019-11-15 00:00:00",39,15,49.714285714285715,
"2019-11-16 00:00:00",35,15,50,
"2019-11-17 00:00:00",32,7,49.285714285714285,
"2019-11-18 00:00:00",31,7,46.42857142857143,
"2019-11-19 00:00:00",32,13,47.714285714285715,
"2019-11-20 00:00:00",36,6,47,
"2019-11-21 00:00:00",37,16,45.857142857142854,
"2019-11-22 00:00:00",34,15,45.142857142857146,
"2019-11-23 00:00:00",41,18,46.42857142857143,
"2019-11-24 00:00:00",26,11,46.142857142857146,
"2019-11-25 00:00:00",29,11,46.42857142857143,
"2019-11-26 00:00:00",28,15,46.142857142857146,
"2019-11-27 00:00:00",38,9,46.857142857142854,
"2019-11-28 00:00:00",38,10,46.142857142857146,
"2019-11-29 00:00:00",40,20,47.714285714285715,
"2019-11-30 00:00:00",27,9,44.42857142857143,
"2019-12-01 00:00:00",32,15,45.857142857142854,
"2019-12-02 00:00:00",40,8,47,
"2019-12-03 00:00:00",32,12,47.142857142857146,
"2019-12-04 00:00:00",27,9,45.57142857142857,
"2019-12-05 00:00:00",31,8,44.285714285714285,
"2019-12-06 00:00:00",33,6,41.285714285714285,
"2019-12-07 00:00:00",43,8,43.42857142857143,
"2019-12-08 00:00:00",35,10,43.142857142857146,
"2019-12-09 00:00:00",30,8,41.714285714285715,
"2019-12-10 00:00:00",38,14,42.857142857142854,
"2019-12-11 00:00:00",42,10,45.142857142857146,
"2019-12-12 00:00:00",40,15,47.42857142857143,
"2019-12-13 00:00:00",25,7,46.42857142857143,
"2019-12-14 00:00:00",30,8,44.57142857142857,
"2019-12-15 00:00:00",24,11,43.142857142857146,
"2019-12-16 00:00:00",28,5,42.42857142857143,
"2019-12-17 00:00:00",38,13,42.285714285714285,
"2019-12-18 00:00:00",25,12,40.142857142857146,
"2019-12-19 00:00:00",31,12,38.42857142857143,
"2019-12-20 00:00:00",31,11,39.857142857142854,
"2019-12-21 00:00:00",29,16,40.857142857142854,
"2019-12-22 00:00:00",30,16,42.42857142857143,
"2019-12-23 00:00:00",23,12,42.714285714285715,
"2019-12-24 00:00:00",27,9,40.57142857142857,
"2019-12-25 00:00:00",34,8,41.285714285714285,
